Complaint_No,Weapon_Type
20110103132704,"Personal Weapons (hands,feet,teeth,etc.)"
20110103142703,"Personal Weapons (hands,feet,teeth,etc.)"
20110103144700,"Personal Weapons (hands,feet,teeth,etc.)"
20110103151400,"Personal Weapons (hands,feet,teeth,etc.)"
20110103151700,Not Applicable/None                     
20110103152302,Unknown/Not Stated                      
20110103164400,"Personal Weapons (hands,feet,teeth,etc.)"
20110103165000,"Personal Weapons (hands,feet,teeth,etc.)"
20110103171103,"Personal Weapons (hands,feet,teeth,etc.)"
20110103171401,"Personal Weapons (hands,feet,teeth,etc.)"
20110103172100,"Personal Weapons (hands,feet,teeth,etc.)"
20110103173200,"Personal Weapons (hands,feet,teeth,etc.)"
20110103183701,Handgun                                 
20110103192701,Other Weapon                            
20110103203304,Handgun                                 
20110103214102,"Personal Weapons (hands,feet,teeth,etc.)"
20110103214601,"Personal Weapons (hands,feet,teeth,etc.)"
20110103222700,"Personal Weapons (hands,feet,teeth,etc.)"
20110103224501,Handgun                                 
20110103230500,"Personal Weapons (hands,feet,teeth,etc.)"
20110103231305,Other Weapon                            
20110103233901,Not Applicable/None                     
20110103235903,Handgun                                 
20110104000900,"Personal Weapons (hands,feet,teeth,etc.)"
20110104005501,"Personal Weapons (hands,feet,teeth,etc.)"
20110104060500,"Personal Weapons (hands,feet,teeth,etc.)"
20110104081502,"Personal Weapons (hands,feet,teeth,etc.)"
20110104092401,"Personal Weapons (hands,feet,teeth,etc.)"
20110104095505,Handgun                                 
20110104100603,Other Weapon                            
20110104114702,Not Applicable/None                     
20110104123002,"Blunt Object(club,hammer,etc)           "
20110104134906,Other Weapon                            
20110104135803,"Personal Weapons (hands,feet,teeth,etc.)"
20110104143001,"Personal Weapons (hands,feet,teeth,etc.)"
20110104143100,Unknown/Not Stated                      
20110104143905,Not Applicable/None                     
20110104145703,"Personal Weapons (hands,feet,teeth,etc.)"
20110104151202,"Personal Weapons (hands,feet,teeth,etc.)"
20110104153601,"Personal Weapons (hands,feet,teeth,etc.)"
20110104154702,"Personal Weapons (hands,feet,teeth,etc.)"
20110104155300,"Personal Weapons (hands,feet,teeth,etc.)"
20110104161501,"Personal Weapons (hands,feet,teeth,etc.)"
20110104165102,Not Applicable/None                     
20110104175201,"Personal Weapons (hands,feet,teeth,etc.)"
20110104194101,"Personal Weapons (hands,feet,teeth,etc.)"
20110104195100,Handgun                                 
20110104202400,"Personal Weapons (hands,feet,teeth,etc.)"
20110104210200,Handgun                                 
20110104213201,Handgun                                 
20110104214201,"Personal Weapons (hands,feet,teeth,etc.)"
20110104221701,Knife                                   
20110104221802,Undetermined Firearm                    
20110104221803,"Personal Weapons (hands,feet,teeth,etc.)"
20110105000101,Knife                                   
20110105001401,"Personal Weapons (hands,feet,teeth,etc.)"
20110105002100,Handgun                                 
20110105002804,"Personal Weapons (hands,feet,teeth,etc.)"
20110105054401,Vehicle                                 
20110105060900,Not Applicable/None                     
20110105064100,"Personal Weapons (hands,feet,teeth,etc.)"
20110105074101,Other Weapon                            
20110105081502,Not Applicable/None                     
20110105120301,"Personal Weapons (hands,feet,teeth,etc.)"
20110105122800,"Personal Weapons (hands,feet,teeth,etc.)"
20110105132206,Other Weapon                            
20110105142002,"Personal Weapons (hands,feet,teeth,etc.)"
20110105143605,"Personal Weapons (hands,feet,teeth,etc.)"
20110105151200,"Personal Weapons (hands,feet,teeth,etc.)"
20110105161001,Knife                                   
20110105170500,"Personal Weapons (hands,feet,teeth,etc.)"
20110105170803,"Personal Weapons (hands,feet,teeth,etc.)"
20110105174402,"Personal Weapons (hands,feet,teeth,etc.)"
20110105183900,"Personal Weapons (hands,feet,teeth,etc.)"
20110105185400,"Blunt Object(club,hammer,etc)           "
20110105185400,Knife                                   
20110105185400,Shotgun                                 
20110105191303,Not Applicable/None                     
20110105193802,"Personal Weapons (hands,feet,teeth,etc.)"
20110105200600,"Personal Weapons (hands,feet,teeth,etc.)"
20110105204306,"Personal Weapons (hands,feet,teeth,etc.)"
20110105205304,Not Applicable/None                     
20110105211704,Handgun                                 
20110105212000,"Personal Weapons (hands,feet,teeth,etc.)"
20110105212000,Not Applicable/None                     
20110105221403,Rifle                                   
