Complaint_No,Weapon_Type
20110319084900,"Personal Weapons (hands,feet,teeth,etc.)"
20110319111201,"Personal Weapons (hands,feet,teeth,etc.)"
20110319115501,"Blunt Object(club,hammer,etc)           "
20110319120303,Not Applicable/None                     
20110319121701,Vehicle                                 
20110319121701,Handgun                                 
20110319125202,Handgun                                 
20110319142902,"Personal Weapons (hands,feet,teeth,etc.)"
20110319144402,"Blunt Object(club,hammer,etc)           "
20110319162101,"Personal Weapons (hands,feet,teeth,etc.)"
20110319165802,"Personal Weapons (hands,feet,teeth,etc.)"
20110319202800,"Personal Weapons (hands,feet,teeth,etc.)"
20110319203901,"Personal Weapons (hands,feet,teeth,etc.)"
20110319204000,"Personal Weapons (hands,feet,teeth,etc.)"
20110319204500,"Personal Weapons (hands,feet,teeth,etc.)"
20110319204601,Handgun                                 
20110319204601,"Personal Weapons (hands,feet,teeth,etc.)"
20110319205100,"Personal Weapons (hands,feet,teeth,etc.)"
20110319220501,Rifle                                   
20110319221200,"Personal Weapons (hands,feet,teeth,etc.)"
20110319224600,"Personal Weapons (hands,feet,teeth,etc.)"
20110319230502,"Personal Weapons (hands,feet,teeth,etc.)"
20110319230602,"Personal Weapons (hands,feet,teeth,etc.)"
20110319231400,"Personal Weapons (hands,feet,teeth,etc.)"
20110319231903,"Personal Weapons (hands,feet,teeth,etc.)"
20110319232309,Handgun                                 
20110319234500,Handgun                                 
20110319234502,"Personal Weapons (hands,feet,teeth,etc.)"
20110319235104,Handgun                                 
20110319235104,Undetermined Firearm                    
20110320001101,"Personal Weapons (hands,feet,teeth,etc.)"
20110320001101,Knife                                   
20110320001402,"Personal Weapons (hands,feet,teeth,etc.)"
20110320001801,Other Weapon                            
20110320002900,Handgun                                 
20110320003101,"Personal Weapons (hands,feet,teeth,etc.)"
20110320003601,"Personal Weapons (hands,feet,teeth,etc.)"
20110320003601,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20110320004000,"Personal Weapons (hands,feet,teeth,etc.)"
20110320004100,"Personal Weapons (hands,feet,teeth,etc.)"
20110320004800,"Personal Weapons (hands,feet,teeth,etc.)"
20110320005302,"Personal Weapons (hands,feet,teeth,etc.)"
20110320005400,"Personal Weapons (hands,feet,teeth,etc.)"
20110320010104,Handgun                                 
20110320015403,"Personal Weapons (hands,feet,teeth,etc.)"
20110320015500,"Personal Weapons (hands,feet,teeth,etc.)"
20110320021500,"Personal Weapons (hands,feet,teeth,etc.)"
20110320025101,Handgun                                 
20110320025500,Handgun                                 
20110320030303,"Personal Weapons (hands,feet,teeth,etc.)"
20110320032502,Shotgun                                 
20110320032503,"Personal Weapons (hands,feet,teeth,etc.)"
20110320032503,"Blunt Object(club,hammer,etc)           "
20110320033200,"Personal Weapons (hands,feet,teeth,etc.)"
20110320035701,Not Applicable/None                     
20110320043503,"Personal Weapons (hands,feet,teeth,etc.)"
20110320044800,Rifle                                   
20110320051101,Knife                                   
20110320081901,"Personal Weapons (hands,feet,teeth,etc.)"
20110320101401,Not Applicable/None                     
20110320103301,"Personal Weapons (hands,feet,teeth,etc.)"
20110320111600,"Personal Weapons (hands,feet,teeth,etc.)"
20110320111703,"Personal Weapons (hands,feet,teeth,etc.)"
20110320115500,"Personal Weapons (hands,feet,teeth,etc.)"
20110320120501,Handgun                                 
20110320120501,"Personal Weapons (hands,feet,teeth,etc.)"
20110320123702,"Personal Weapons (hands,feet,teeth,etc.)"
20110320125100,Handgun                                 
20110320130200,"Blunt Object(club,hammer,etc)           "
20110320130200,"Personal Weapons (hands,feet,teeth,etc.)"
20110320131100,Vehicle                                 
20110320140400,Fire/Burning  Tool/Device               
20110320142300,Not Applicable/None                     
20110320142802,"Personal Weapons (hands,feet,teeth,etc.)"
20110320144502,"Personal Weapons (hands,feet,teeth,etc.)"
20110320151200,Knife                                   
20110320152703,"Personal Weapons (hands,feet,teeth,etc.)"
20110320155203,"Personal Weapons (hands,feet,teeth,etc.)"
20110320172100,"Personal Weapons (hands,feet,teeth,etc.)"
20110320173402,Vehicle                                 
20110320182405,"Personal Weapons (hands,feet,teeth,etc.)"
20110320185600,"Personal Weapons (hands,feet,teeth,etc.)"
20110320200700,"Personal Weapons (hands,feet,teeth,etc.)"
20110320201402,"Personal Weapons (hands,feet,teeth,etc.)"
20110320203300,"Personal Weapons (hands,feet,teeth,etc.)"
20110320203401,"Personal Weapons (hands,feet,teeth,etc.)"
20110320212101,"Personal Weapons (hands,feet,teeth,etc.)"
20110320224200,"Personal Weapons (hands,feet,teeth,etc.)"
20110320231800,Handgun                                 
20110320231800,"Personal Weapons (hands,feet,teeth,etc.)"
20110321021000,Handgun                                 
20110321022200,"Personal Weapons (hands,feet,teeth,etc.)"
20110321022900,Undetermined Firearm                    
20110321071400,"Personal Weapons (hands,feet,teeth,etc.)"
20110321071400,Handgun                                 
20110321094102,"Personal Weapons (hands,feet,teeth,etc.)"
20110321095706,"Personal Weapons (hands,feet,teeth,etc.)"
20110321095902,"Personal Weapons (hands,feet,teeth,etc.)"
20110321101202,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20110321101402,Not Applicable/None                     
20110321102305,"Personal Weapons (hands,feet,teeth,etc.)"
20110321105300,"Personal Weapons (hands,feet,teeth,etc.)"
20110321111503,"Personal Weapons (hands,feet,teeth,etc.)"
20110321111503,Handgun                                 
20110321114900,"Personal Weapons (hands,feet,teeth,etc.)"
20110321121101,Other Weapon                            
20110321121101,"Personal Weapons (hands,feet,teeth,etc.)"
20110321142500,Not Applicable/None                     
20110321143300,"Personal Weapons (hands,feet,teeth,etc.)"
20110321144004,"Personal Weapons (hands,feet,teeth,etc.)"
20110321152200,Other Firearm                           
20110321154002,Razor                                   
20110321155000,"Personal Weapons (hands,feet,teeth,etc.)"
20110321161800,"Personal Weapons (hands,feet,teeth,etc.)"
20110321163601,Undetermined Firearm                    
20110321170501,"Personal Weapons (hands,feet,teeth,etc.)"
20110321180002,"Personal Weapons (hands,feet,teeth,etc.)"
20110321182102,Handgun                                 
20110321184201,"Blunt Object(club,hammer,etc)           "
20110321192504,"Personal Weapons (hands,feet,teeth,etc.)"
20110321192800,"Personal Weapons (hands,feet,teeth,etc.)"
20110321194700,Unknown/Not Stated                      
20110321200301,"Personal Weapons (hands,feet,teeth,etc.)"
20110321203401,"Personal Weapons (hands,feet,teeth,etc.)"
20110321210201,"Personal Weapons (hands,feet,teeth,etc.)"
20110321210402,"Personal Weapons (hands,feet,teeth,etc.)"
20110321211704,Handgun                                 
20110321213204,Undetermined Firearm                    
20110321214600,"Personal Weapons (hands,feet,teeth,etc.)"
20110321215901,"Blunt Object(club,hammer,etc)           "
20110321220404,"Personal Weapons (hands,feet,teeth,etc.)"
20110321222701,Other Cutting Instrument                
20110321222701,"Personal Weapons (hands,feet,teeth,etc.)"
20110321223302,"Personal Weapons (hands,feet,teeth,etc.)"
20110321224600,Handgun                                 
20110321230800,"Personal Weapons (hands,feet,teeth,etc.)"
20110321231203,"Personal Weapons (hands,feet,teeth,etc.)"
20110321231600,"Personal Weapons (hands,feet,teeth,etc.)"
20110321234002,Handgun                                 
20110321234002,"Personal Weapons (hands,feet,teeth,etc.)"
20110322000300,"Personal Weapons (hands,feet,teeth,etc.)"
20110322003600,"Personal Weapons (hands,feet,teeth,etc.)"
20110322010301,"Personal Weapons (hands,feet,teeth,etc.)"
20110322012801,"Personal Weapons (hands,feet,teeth,etc.)"
20110322013401,"Personal Weapons (hands,feet,teeth,etc.)"
20110322021100,Not Applicable/None                     
20110322021702,"Personal Weapons (hands,feet,teeth,etc.)"
20110322024301,"Personal Weapons (hands,feet,teeth,etc.)"
20110322031800,"Personal Weapons (hands,feet,teeth,etc.)"
20110322032102,"Personal Weapons (hands,feet,teeth,etc.)"
20110322032801,"Personal Weapons (hands,feet,teeth,etc.)"
20110322034701,Shotgun                                 
20110322072602,"Personal Weapons (hands,feet,teeth,etc.)"
20110322095705,Handgun                                 
20110322103001,Not Applicable/None                     
20110322103702,"Personal Weapons (hands,feet,teeth,etc.)"
20110322105005,Not Applicable/None                     
20110322112902,Not Applicable/None                     
20110322120800,"Personal Weapons (hands,feet,teeth,etc.)"
20110322121001,Not Applicable/None                     
20110322124401,"Personal Weapons (hands,feet,teeth,etc.)"
20110322124603,Other Weapon                            
20110322130705,"Personal Weapons (hands,feet,teeth,etc.)"
20110322143803,Not Applicable/None                     
20110322160100,"Personal Weapons (hands,feet,teeth,etc.)"
20110322160201,"Personal Weapons (hands,feet,teeth,etc.)"
20110322163805,"Personal Weapons (hands,feet,teeth,etc.)"
20110322163805,Knife                                   
20110322174305,"Personal Weapons (hands,feet,teeth,etc.)"
20110322182303,"Personal Weapons (hands,feet,teeth,etc.)"
20110322182303,Knife                                   
20110322183004,Other Weapon                            
20110322185903,"Personal Weapons (hands,feet,teeth,etc.)"
20110322185903,Knife                                   
20110322191703,"Personal Weapons (hands,feet,teeth,etc.)"
20110322194001,"Personal Weapons (hands,feet,teeth,etc.)"
20110322194901,Knife                                   
20110322195400,Knife                                   
20110322203603,"Personal Weapons (hands,feet,teeth,etc.)"
20110322215702,"Personal Weapons (hands,feet,teeth,etc.)"
20110322215801,"Personal Weapons (hands,feet,teeth,etc.)"
20110322225100,"Personal Weapons (hands,feet,teeth,etc.)"
20110322230502,"Personal Weapons (hands,feet,teeth,etc.)"
20110323002300,Knife                                   
20110323002601,Undetermined Firearm                    
20110323015201,Handgun                                 
20110323025601,Handgun                                 
20110323063701,"Blunt Object(club,hammer,etc)           "
20110323080801,"Personal Weapons (hands,feet,teeth,etc.)"
20110323080801,Not Applicable/None                     
20110323091600,"Personal Weapons (hands,feet,teeth,etc.)"
20110323102602,"Personal Weapons (hands,feet,teeth,etc.)"
20110323103400,"Personal Weapons (hands,feet,teeth,etc.)"
20110323115506,Handgun                                 
20110323120502,"Personal Weapons (hands,feet,teeth,etc.)"
20110323120800,Knife                                   
20110323122302,"Personal Weapons (hands,feet,teeth,etc.)"
20110323123000,Not Applicable/None                     
20110323134303,"Personal Weapons (hands,feet,teeth,etc.)"
20110323140601,"Personal Weapons (hands,feet,teeth,etc.)"
20110323140800,"Personal Weapons (hands,feet,teeth,etc.)"
20110323151303,Handgun                                 
20110323160504,"Personal Weapons (hands,feet,teeth,etc.)"
20110323163001,"Personal Weapons (hands,feet,teeth,etc.)"
20110323164001,"Personal Weapons (hands,feet,teeth,etc.)"
20110323164504,Not Applicable/None                     
20110323165403,"Personal Weapons (hands,feet,teeth,etc.)"
20110323171700,Not Applicable/None                     
20110323173500,Not Applicable/None                     
20110323175003,Not Applicable/None                     
20110323200100,"Personal Weapons (hands,feet,teeth,etc.)"
20110323200602,Other Weapon                            
20110323204501,"Personal Weapons (hands,feet,teeth,etc.)"
20110323210302,"Personal Weapons (hands,feet,teeth,etc.)"
20110323222600,Other Weapon                            
20110323233000,"Personal Weapons (hands,feet,teeth,etc.)"
20110323235001,Handgun                                 
20110324001405,"Personal Weapons (hands,feet,teeth,etc.)"
20110324001405,Other Cutting Instrument                
20110324004500,"Personal Weapons (hands,feet,teeth,etc.)"
20110324004903,"Personal Weapons (hands,feet,teeth,etc.)"
20110324013000,"Personal Weapons (hands,feet,teeth,etc.)"
20110324013200,"Personal Weapons (hands,feet,teeth,etc.)"
20110324024401,"Personal Weapons (hands,feet,teeth,etc.)"
20110324024802,"Personal Weapons (hands,feet,teeth,etc.)"
20110324070600,"Personal Weapons (hands,feet,teeth,etc.)"
20110324080103,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20110324120705,"Personal Weapons (hands,feet,teeth,etc.)"
20110324121006,"Personal Weapons (hands,feet,teeth,etc.)"
20110324123400,"Personal Weapons (hands,feet,teeth,etc.)"
20110324123503,"Personal Weapons (hands,feet,teeth,etc.)"
20110324124808,Knife                                   
20110324131303,"Personal Weapons (hands,feet,teeth,etc.)"
20110324134802,"Personal Weapons (hands,feet,teeth,etc.)"
20110324140201,"Personal Weapons (hands,feet,teeth,etc.)"
20110324142404,"Personal Weapons (hands,feet,teeth,etc.)"
20110324142404,Handgun                                 
20110324161202,"Personal Weapons (hands,feet,teeth,etc.)"
20110324174000,"Personal Weapons (hands,feet,teeth,etc.)"
20110324174300,Handgun                                 
20110324174300,Other Weapon                            
20110324182701,"Personal Weapons (hands,feet,teeth,etc.)"
20110324193401,"Personal Weapons (hands,feet,teeth,etc.)"
20110324214906,Handgun                                 
20110324222905,"Personal Weapons (hands,feet,teeth,etc.)"
20110324224201,"Personal Weapons (hands,feet,teeth,etc.)"
20110324224302,"Personal Weapons (hands,feet,teeth,etc.)"
20110324235501,"Personal Weapons (hands,feet,teeth,etc.)"
20110325021302,Other Weapon                            
20110325024300,"Personal Weapons (hands,feet,teeth,etc.)"
20110325032201,Other Weapon                            
20110325032201,"Personal Weapons (hands,feet,teeth,etc.)"
20110325045300,Undetermined Firearm                    
20110325080301,Undetermined Firearm                    
20110325100300,Shotgun                                 
20110325101011,Razor                                   
20110325105502,"Personal Weapons (hands,feet,teeth,etc.)"
20110325105601,"Personal Weapons (hands,feet,teeth,etc.)"
20110325121204,Not Applicable/None                     
20110325124002,Vehicle                                 
20110325133504,"Personal Weapons (hands,feet,teeth,etc.)"
20110325133700,"Personal Weapons (hands,feet,teeth,etc.)"
20110325140500,Knife                                   
20110325142202,"Personal Weapons (hands,feet,teeth,etc.)"
20110325143104,"Personal Weapons (hands,feet,teeth,etc.)"
20110325145000,"Personal Weapons (hands,feet,teeth,etc.)"
20110325150302,"Personal Weapons (hands,feet,teeth,etc.)"
20110325152800,"Personal Weapons (hands,feet,teeth,etc.)"
20110325153800,"Personal Weapons (hands,feet,teeth,etc.)"
20110325153800,Vehicle                                 
20110325171500,Knife                                   
20110325182602,"Personal Weapons (hands,feet,teeth,etc.)"
20110325185600,"Personal Weapons (hands,feet,teeth,etc.)"
20110325191001,Handgun                                 
20110325191102,"Personal Weapons (hands,feet,teeth,etc.)"
20110325195200,"Personal Weapons (hands,feet,teeth,etc.)"
20110325201000,"Personal Weapons (hands,feet,teeth,etc.)"
20110325201703,Handgun                                 
20110325205604,Handgun                                 
20110325205803,Handgun                                 
20110325210503,"Personal Weapons (hands,feet,teeth,etc.)"
20110325211301,"Blunt Object(club,hammer,etc)           "
20110325211301,"Personal Weapons (hands,feet,teeth,etc.)"
20110325215601,"Personal Weapons (hands,feet,teeth,etc.)"
20110325221304,"Personal Weapons (hands,feet,teeth,etc.)"
20110325221801,"Personal Weapons (hands,feet,teeth,etc.)"
20110325232601,"Personal Weapons (hands,feet,teeth,etc.)"
20110325232703,"Personal Weapons (hands,feet,teeth,etc.)"
20110326002202,Handgun                                 
20110326002504,Other Weapon                            
20110326004901,Other Cutting Instrument                
20110326011705,"Personal Weapons (hands,feet,teeth,etc.)"
20110326011900,"Personal Weapons (hands,feet,teeth,etc.)"
20110326013302,Handgun                                 
20110326015404,"Personal Weapons (hands,feet,teeth,etc.)"
20110326024700,Not Applicable/None                     
20110326032502,"Personal Weapons (hands,feet,teeth,etc.)"
20110326033300,Handgun                                 
20110326033300,"Blunt Object(club,hammer,etc)           "
20110326040501,"Personal Weapons (hands,feet,teeth,etc.)"
20110326045301,"Personal Weapons (hands,feet,teeth,etc.)"
20110326050300,"Personal Weapons (hands,feet,teeth,etc.)"
20110326052200,"Personal Weapons (hands,feet,teeth,etc.)"
20110326061300,"Personal Weapons (hands,feet,teeth,etc.)"
20110326062000,Not Applicable/None                     
20110326064001,Not Applicable/None                     
20110326073700,"Personal Weapons (hands,feet,teeth,etc.)"
20110326073700,"Blunt Object(club,hammer,etc)           "
20110326090801,"Personal Weapons (hands,feet,teeth,etc.)"
20110326093800,Handgun                                 
20110326095900,"Personal Weapons (hands,feet,teeth,etc.)"
20110326101604,"Personal Weapons (hands,feet,teeth,etc.)"
20110326122000,Handgun                                 
20110326122202,"Personal Weapons (hands,feet,teeth,etc.)"
20110326132502,"Personal Weapons (hands,feet,teeth,etc.)"
20110326150203,"Personal Weapons (hands,feet,teeth,etc.)"
20110326150801,"Personal Weapons (hands,feet,teeth,etc.)"
20110326160300,"Personal Weapons (hands,feet,teeth,etc.)"
20110326160800,"Personal Weapons (hands,feet,teeth,etc.)"
20110326161502,"Personal Weapons (hands,feet,teeth,etc.)"
20110326163501,"Blunt Object(club,hammer,etc)           "
20110326163501,"Personal Weapons (hands,feet,teeth,etc.)"
20110326173800,Handgun                                 
20110326174901,"Personal Weapons (hands,feet,teeth,etc.)"
20110326180601,Knife                                   
20110326184601,Not Applicable/None                     
20110326190902,"Personal Weapons (hands,feet,teeth,etc.)"
20110326193000,"Personal Weapons (hands,feet,teeth,etc.)"
20110326194101,"Personal Weapons (hands,feet,teeth,etc.)"
20110326195804,Not Applicable/None                     
20110326210200,Other Cutting Instrument                
20110326210502,Other Weapon                            
20110326213701,"Personal Weapons (hands,feet,teeth,etc.)"
20110326214800,Other Weapon                            
20110326220301,"Personal Weapons (hands,feet,teeth,etc.)"
20110326223200,"Personal Weapons (hands,feet,teeth,etc.)"
20110326231102,Other Weapon                            
20110326233700,"Personal Weapons (hands,feet,teeth,etc.)"
20110327013401,Handgun                                 
20110327014903,"Personal Weapons (hands,feet,teeth,etc.)"
20110327024304,"Personal Weapons (hands,feet,teeth,etc.)"
20110327025702,"Personal Weapons (hands,feet,teeth,etc.)"
20110327033300,"Personal Weapons (hands,feet,teeth,etc.)"
20110327033300,Handgun                                 
20110327041500,"Blunt Object(club,hammer,etc)           "
20110327052200,"Personal Weapons (hands,feet,teeth,etc.)"
20110327093901,Not Applicable/None                     
20110327122302,Not Applicable/None                     
20110327133000,"Blunt Object(club,hammer,etc)           "
20110327143800,Handgun                                 
20110327155101,"Personal Weapons (hands,feet,teeth,etc.)"
20110327162101,"Personal Weapons (hands,feet,teeth,etc.)"
20110327163601,Handgun                                 
20110327175201,"Personal Weapons (hands,feet,teeth,etc.)"
20110327190301,"Personal Weapons (hands,feet,teeth,etc.)"
20110327194800,"Personal Weapons (hands,feet,teeth,etc.)"
20110327195501,"Personal Weapons (hands,feet,teeth,etc.)"
20110327195501,Other Weapon                            
20110327195601,"Personal Weapons (hands,feet,teeth,etc.)"
20110327210203,"Personal Weapons (hands,feet,teeth,etc.)"
20110327220404,"Personal Weapons (hands,feet,teeth,etc.)"
20110327220404,Handgun                                 
20110328000702,Other Weapon                            
20110328000702,"Personal Weapons (hands,feet,teeth,etc.)"
20110328002301,Rifle                                   
20110328030700,Shotgun                                 
20110328031200,"Personal Weapons (hands,feet,teeth,etc.)"
20110328033603,"Personal Weapons (hands,feet,teeth,etc.)"
20110328071900,"Personal Weapons (hands,feet,teeth,etc.)"
20110328084505,Other Weapon                            
20110328101903,"Personal Weapons (hands,feet,teeth,etc.)"
20110328104502,"Personal Weapons (hands,feet,teeth,etc.)"
20110328121904,"Personal Weapons (hands,feet,teeth,etc.)"
20110328130514,"Personal Weapons (hands,feet,teeth,etc.)"
20110328131504,Razor                                   
20110328132801,"Personal Weapons (hands,feet,teeth,etc.)"
20110328133710,"Personal Weapons (hands,feet,teeth,etc.)"
20110328144201,"Personal Weapons (hands,feet,teeth,etc.)"
20110328152104,"Personal Weapons (hands,feet,teeth,etc.)"
20110328153600,Handgun                                 
20110328154200,"Personal Weapons (hands,feet,teeth,etc.)"
20110328155701,Rifle                                   
20110328160800,"Personal Weapons (hands,feet,teeth,etc.)"
20110328161203,Razor                                   
20110328161402,"Personal Weapons (hands,feet,teeth,etc.)"
20110328183301,"Personal Weapons (hands,feet,teeth,etc.)"
20110328185600,"Personal Weapons (hands,feet,teeth,etc.)"
20110328194100,"Personal Weapons (hands,feet,teeth,etc.)"
20110328195801,Handgun                                 
20110328202100,"Personal Weapons (hands,feet,teeth,etc.)"
20110328210202,"Personal Weapons (hands,feet,teeth,etc.)"
20110328212601,"Personal Weapons (hands,feet,teeth,etc.)"
20110328215100,"Personal Weapons (hands,feet,teeth,etc.)"
20110328215400,"Personal Weapons (hands,feet,teeth,etc.)"
20110328220702,Knife                                   
20110328221200,"Personal Weapons (hands,feet,teeth,etc.)"
20110328222500,"Personal Weapons (hands,feet,teeth,etc.)"
20110328224105,Handgun                                 
20110328231501,Undetermined Firearm                    
20110328231501,Shotgun                                 
20110328231501,Unknown/Not Stated                      
20110328234000,Handgun                                 
20110329010500,"Personal Weapons (hands,feet,teeth,etc.)"
20110329021602,"Personal Weapons (hands,feet,teeth,etc.)"
20110329090202,"Personal Weapons (hands,feet,teeth,etc.)"
20110329092300,Knife                                   
20110329104501,"Personal Weapons (hands,feet,teeth,etc.)"
20110329111001,"Personal Weapons (hands,feet,teeth,etc.)"
20110329111502,"Personal Weapons (hands,feet,teeth,etc.)"
20110329123101,"Personal Weapons (hands,feet,teeth,etc.)"
20110329123500,Knife                                   
20110329130501,"Personal Weapons (hands,feet,teeth,etc.)"
20110329134001,"Personal Weapons (hands,feet,teeth,etc.)"
20110329145301,"Personal Weapons (hands,feet,teeth,etc.)"
20110329151401,"Personal Weapons (hands,feet,teeth,etc.)"
20110329153400,"Personal Weapons (hands,feet,teeth,etc.)"
20110329154802,"Personal Weapons (hands,feet,teeth,etc.)"
20110329155003,"Personal Weapons (hands,feet,teeth,etc.)"
20110329162201,Handgun                                 
20110329165000,"Personal Weapons (hands,feet,teeth,etc.)"
20110329173801,"Personal Weapons (hands,feet,teeth,etc.)"
20110329174200,Knife                                   
20110329183402,"Personal Weapons (hands,feet,teeth,etc.)"
20110329191301,"Personal Weapons (hands,feet,teeth,etc.)"
20110329191400,"Personal Weapons (hands,feet,teeth,etc.)"
20110329191403,"Personal Weapons (hands,feet,teeth,etc.)"
20110329194300,"Personal Weapons (hands,feet,teeth,etc.)"
20110329201000,"Blunt Object(club,hammer,etc)           "
20110329202700,Handgun                                 
20110329202901,"Personal Weapons (hands,feet,teeth,etc.)"
20110329210700,"Personal Weapons (hands,feet,teeth,etc.)"
20110329211701,Handgun                                 
20110329214100,"Personal Weapons (hands,feet,teeth,etc.)"
20110329215200,Knife                                   
20110329215200,"Personal Weapons (hands,feet,teeth,etc.)"
20110329215400,Knife                                   
20110329220702,"Personal Weapons (hands,feet,teeth,etc.)"
20110329221000,Handgun                                 
20110329221404,Handgun                                 
20110329221703,"Personal Weapons (hands,feet,teeth,etc.)"
20110329221902,"Personal Weapons (hands,feet,teeth,etc.)"
20110329222301,"Personal Weapons (hands,feet,teeth,etc.)"
20110329223200,"Personal Weapons (hands,feet,teeth,etc.)"
20110329230002,"Personal Weapons (hands,feet,teeth,etc.)"
20110329230706,"Personal Weapons (hands,feet,teeth,etc.)"
20110329232200,"Personal Weapons (hands,feet,teeth,etc.)"
20110329232600,Handgun                                 
20110329233002,"Blunt Object(club,hammer,etc)           "
20110329233002,"Personal Weapons (hands,feet,teeth,etc.)"
20110329235401,"Personal Weapons (hands,feet,teeth,etc.)"
20110330005701,"Personal Weapons (hands,feet,teeth,etc.)"
20110330030800,Other Weapon                            
20110330033102,Handgun                                 
20110330075000,Not Applicable/None                     
20110330092000,"Personal Weapons (hands,feet,teeth,etc.)"
20110330092500,Not Applicable/None                     
20110330092500,Other Weapon                            
20110330101204,Not Applicable/None                     
20110330102500,"Personal Weapons (hands,feet,teeth,etc.)"
20110330103802,"Personal Weapons (hands,feet,teeth,etc.)"
20110330113601,"Personal Weapons (hands,feet,teeth,etc.)"
20110330121102,Knife                                   
20110330125000,"Personal Weapons (hands,feet,teeth,etc.)"
20110330125101,Puncturing Tool/Device                  
20110330132701,Handgun                                 
20110330133200,Knife                                   
20110330141200,"Personal Weapons (hands,feet,teeth,etc.)"
20110330144603,"Personal Weapons (hands,feet,teeth,etc.)"
20110330144900,"Personal Weapons (hands,feet,teeth,etc.)"
20110330145302,"Personal Weapons (hands,feet,teeth,etc.)"
20110330145500,Handgun                                 
20110330145503,"Personal Weapons (hands,feet,teeth,etc.)"
20110330153003,Knife                                   
20110330154300,"Personal Weapons (hands,feet,teeth,etc.)"
20110330154502,"Personal Weapons (hands,feet,teeth,etc.)"
20110330155602,"Personal Weapons (hands,feet,teeth,etc.)"
20110330170200,Knife                                   
20110330174901,"Personal Weapons (hands,feet,teeth,etc.)"
20110330175200,"Personal Weapons (hands,feet,teeth,etc.)"
20110330190701,"Personal Weapons (hands,feet,teeth,etc.)"
20110330190903,"Personal Weapons (hands,feet,teeth,etc.)"
20110330191100,Handgun                                 
20110330191100,Rifle                                   
20110330200502,Handgun                                 
20110330201600,"Personal Weapons (hands,feet,teeth,etc.)"
20110330211700,Knife                                   
20110330212803,"Personal Weapons (hands,feet,teeth,etc.)"
20110330213600,"Personal Weapons (hands,feet,teeth,etc.)"
20110330222000,"Personal Weapons (hands,feet,teeth,etc.)"
20110330224400,"Personal Weapons (hands,feet,teeth,etc.)"
20110331011001,Handgun                                 
20110331024104,"Personal Weapons (hands,feet,teeth,etc.)"
20110331074000,"Personal Weapons (hands,feet,teeth,etc.)"
20110331081702,"Personal Weapons (hands,feet,teeth,etc.)"
20110331090003,"Personal Weapons (hands,feet,teeth,etc.)"
20110331092102,Other Cutting Instrument                
20110331102000,"Personal Weapons (hands,feet,teeth,etc.)"
20110331103802,Razor                                   
20110331113502,Handgun                                 
20110331113801,Other Weapon                            
20110331120004,Handgun                                 
20110331120703,Other Weapon                            
20110331121001,"Personal Weapons (hands,feet,teeth,etc.)"
20110331123103,"Personal Weapons (hands,feet,teeth,etc.)"
20110331130103,"Personal Weapons (hands,feet,teeth,etc.)"
20110331131904,"Personal Weapons (hands,feet,teeth,etc.)"
20110331142904,Knife                                   
20110331144802,"Personal Weapons (hands,feet,teeth,etc.)"
20110331164502,Knife                                   
20110331165103,"Personal Weapons (hands,feet,teeth,etc.)"
20110331171103,"Personal Weapons (hands,feet,teeth,etc.)"
20110331200303,Other Weapon                            
20110331201101,Other Weapon                            
20110331204202,Rifle                                   
20110331210901,"Personal Weapons (hands,feet,teeth,etc.)"
20110331211401,Knife                                   
20110331211401,"Personal Weapons (hands,feet,teeth,etc.)"
20110331215301,"Personal Weapons (hands,feet,teeth,etc.)"
20110331221601,Not Applicable/None                     
20110331234101,"Personal Weapons (hands,feet,teeth,etc.)"
20110331235405,"Personal Weapons (hands,feet,teeth,etc.)"
20110401000303,"Blunt Object(club,hammer,etc)           "
20110401010601,Shotgun                                 
20110401011404,"Personal Weapons (hands,feet,teeth,etc.)"
20110401014001,"Blunt Object(club,hammer,etc)           "
20110401023004,"Personal Weapons (hands,feet,teeth,etc.)"
20110401025002,"Personal Weapons (hands,feet,teeth,etc.)"
20110401030602,"Personal Weapons (hands,feet,teeth,etc.)"
20110401045100,"Personal Weapons (hands,feet,teeth,etc.)"
20110401051301,"Personal Weapons (hands,feet,teeth,etc.)"
20110401061301,Handgun                                 
20110401065100,Handgun                                 
20110401081200,Not Applicable/None                     
20110401081200,Unknown/Not Stated                      
20110401100204,Not Applicable/None                     
20110401101600,Not Applicable/None                     
20110401105503,"Personal Weapons (hands,feet,teeth,etc.)"
20110401113001,"Personal Weapons (hands,feet,teeth,etc.)"
20110401113001,Knife                                   
20110401115004,"Personal Weapons (hands,feet,teeth,etc.)"
20110401125103,"Personal Weapons (hands,feet,teeth,etc.)"
20110401131602,"Personal Weapons (hands,feet,teeth,etc.)"
20110401140201,Handgun                                 
20110401145201,Other Weapon                            
20110401154501,"Personal Weapons (hands,feet,teeth,etc.)"
20110401154501,Handgun                                 
20110401162601,Vehicle                                 
20110401170303,"Personal Weapons (hands,feet,teeth,etc.)"
20110401172700,Handgun                                 
20110401173803,"Personal Weapons (hands,feet,teeth,etc.)"
20110401174700,Handgun                                 
20110401185700,"Personal Weapons (hands,feet,teeth,etc.)"
20110401193000,"Personal Weapons (hands,feet,teeth,etc.)"
20110401201800,"Personal Weapons (hands,feet,teeth,etc.)"
