Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   COLUMBUS                                 CR,28208,1439174,544306,Motor Vehicle Theft,0
   CUMBERLAND                               DR,28227,1519455,539886,Motor Vehicle Theft,0
   PEACHTREE                                RD,28216,1434957,566446,Motor Vehicle Theft,0
   CRANDON                                  DR,28216,1438650,567452,Motor Vehicle Theft,0
   ELECTRA                                  LN,28212,1476901,526046,Motor Vehicle Theft,0
W  WORTHINGTON                              AV,28203,1444398,537152,Motor Vehicle Theft,0
   MCGINN GROVE                             DR,28216,1433116,565186,Motor Vehicle Theft,0
   WILKINSON                                BV,28208,1434145,542603,Motor Vehicle Theft,0
   BRIANNA                                  WY,28217,1434389,532530,Motor Vehicle Theft,0
   NORTHBEND                                DR,28262,1483781,579043,Motor Vehicle Theft,0
   THE PLAZA                                  ,28215,1481921,553640,Motor Vehicle Theft,0
   LAKEMIST                                 DR,28217,1437763,515175,Motor Vehicle Theft,0
   FOUNTAINGRASS                            LN,28269,1449225,565321,Motor Vehicle Theft,0
N  85 IN,28262,1479555,579255,Motor Vehicle Theft,0
   HOLLY KNOLL                              DR,28227,1490458,538724,Motor Vehicle Theft,0
   FLUSHING                                 CT,28215,1470383,548801,Motor Vehicle Theft,0
E  W T HARRIS                               BV,28215,1484926,540865,Motor Vehicle Theft,0
   ALEXANDER MARTIN                         AV,28277-8192  ,1460641,473233,Motor Vehicle Theft,0
W  SUGAR CREEK                              RD,28213,1464862,560265,Motor Vehicle Theft,0
E  7TH                                      ST,28205,1456843,537248,Motor Vehicle Theft,0
   FREEDOM                                  DR,28208,1436205,548647,Motor Vehicle Theft,0
   PUDDLE DUCK                              RD,28269,1481758,580545,Motor Vehicle Theft,0
   CLANTON                                  RD,28208,1437982,531903,Motor Vehicle Theft,0
   FLOWERS                                  CT,28215,1502219,551101,Motor Vehicle Theft,0
E  INDEPENDENCE                             BV,28205,1464685,533631,Motor Vehicle Theft,0
   THRIFTWOOD                               DR,28208,1432147,553645,Motor Vehicle Theft,0
   CURTISWOOD                               DR,28213,1467466,552699,Motor Vehicle Theft,0
   TULANE                                   ST,28205,1468076,531607,Motor Vehicle Theft,0
   AUDREY                                   ST,28215,1469950,547300,Motor Vehicle Theft,0
   FREEDOM                                  DR,28208,1436958,547414,Motor Vehicle Theft,0
   WILLOW PARK                              DR,28200,1473224,536749,Motor Vehicle Theft,0
   AMITY POINTE                             DR,28215,1481314,544712,Motor Vehicle Theft,0
   SPANISH QUARTER                          CR,28205,1474358,535439,Motor Vehicle Theft,0
   CARRINGTON                               DR,28214,1417557,561275,Motor Vehicle Theft,0
   WEST                                     BV,28208,1437417,538918,Motor Vehicle Theft,0
   WILKINSON                                BV,28208,1431396,542345,Motor Vehicle Theft,0
   NORTHBEND                                DR,28262,1483867,578835,Motor Vehicle Theft,0
   BEATTIES FORD                            RD,28216,1446273,555626,Motor Vehicle Theft,0
   BEACON RIDGE                             DR,28210,1440109,518037,Motor Vehicle Theft,0
   EAGLEVIEW                                DR,28278,1392156,498015,Motor Vehicle Theft,0
   PARK FAIRFAX                             DR,28208,1427559,556744,Motor Vehicle Theft,0
E  INDEPENDENCE                             BV,28212,1472725,529557,Motor Vehicle Theft,0
   HOOVER                                   CR,28214,1420747,559263,Motor Vehicle Theft,0
   WRAYHILL                                 DR,28262,1492594,585305,Motor Vehicle Theft,0
   RENTAL CAR                               RD,28214,1418462,541900,Motor Vehicle Theft,0
   ROYAL POINT                              DR,28217,1425025,513093,Motor Vehicle Theft,0
   THE PLAZA                                  ,28206,1481921,553640,Motor Vehicle Theft,0
   TYVOLA                                   RD,28210,1439922,519915,Motor Vehicle Theft,0
   RENTAL CAR                               RD,28214,1418242,543331,Motor Vehicle Theft,0
   RODMAN                                   ST,28211,1460876,531063,Motor Vehicle Theft,0
   OLD DOWD                                 RD,28214,1420938,543770,Motor Vehicle Theft,0
N  I-77                                     HY,28217,1431162,512004,Motor Vehicle Theft,0
E  19TH                                     ST,28205,1457116,544498,Motor Vehicle Theft,0
   OASIS                                    LN,28214,1410127,562354,Motor Vehicle Theft,0
   REALTREE                                 LN,28214,1425583,559421,Motor Vehicle Theft,0
   BEATTIES FORD                            RD,28217,1445770,571036,Motor Vehicle Theft,0
   SHARVIEW                                 CR,28217,1432518,518954,Motor Vehicle Theft,0
   WESLEY VILLAGE                           RD,28208,1441823,544871,Motor Vehicle Theft,0
   SPYGLASS                                 PL,28214,1414810,556416,Motor Vehicle Theft,0
   PINEBARK                                 CT,28212,1477791,531843,Motor Vehicle Theft,0
   FARMBROOK                                DR,20210,1443165,517497,Motor Vehicle Theft,0
   BENT TREE                                CT,28212,1481346,535529,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1474992,535854,Motor Vehicle Theft,0
   LODGE SOUTH                              CR,28217,1436165,511073,Motor Vehicle Theft,0
   OLD PINEVILLE                            RD,28217,1438523,521847,Motor Vehicle Theft,0
   SEIGLE                                   AV,28295,1455198,542437,Motor Vehicle Theft,0
   SOLOMON                                  ST,28216,1444617,549505,Motor Vehicle Theft,0
   ALBEMARLE                                RD,28205,1475787,534298,Motor Vehicle Theft,0
   MAHOGANY                                 DR,28227,1490519,537359,Motor Vehicle Theft,0
   HIGHLAND                                 ST,28208,1436893,542912,Motor Vehicle Theft,0
   WINDING CEDAR                            TL,28212,1483799,534065,Motor Vehicle Theft,0
S  CLARKSON                                 ST,28208,1444343,541517,Motor Vehicle Theft,0
   ARBORGATE                                DR,28273,1436871,509767,Motor Vehicle Theft,0
   BEATTIES FORD                            RD,28216,1445200,572314,Motor Vehicle Theft,0
   HARRIS STATION                           BV,28213,1483900,559480,Motor Vehicle Theft,0
   BULLOCK                                  DR,28214,1424341,568356,Motor Vehicle Theft,0
   RIDGE CLIFF                              RD,28269,1467825,579633,Motor Vehicle Theft,0
   SINGLELEAF                               LN,28278,1400699,496990,Motor Vehicle Theft,0
   HIRAM                                    ST,28208,1433678,535311,Motor Vehicle Theft,0
   HANNAH RAE                               CT,28214,1426464,557856,Motor Vehicle Theft,0
   NED                                      CT,28273,1415469,503675,Motor Vehicle Theft,0
   STONE ARBOR                              WY,28273,1408837,499746,Motor Vehicle Theft,0
   TWEEDSMUIR GLEN                          LN,28215,1485224,558728,Motor Vehicle Theft,0
   BROOKSHIRE                               BV,28216,1437530,559585,Motor Vehicle Theft,0
   JOHN J. DELANEY                          DR,28227,1446901,479818,Motor Vehicle Theft,0
   MORRISON                                 BV,28211,1451999,516407,Motor Vehicle Theft,0
   KALYNNE                                  ST,28208,1438632,553110,Motor Vehicle Theft,0
   BROOKTREE                                DR,28208,1431445,556241,Motor Vehicle Theft,0
   PURSER                                   DR,28215,1469224,547747,Motor Vehicle Theft,0
   J M KEYNES                               DR,28262,1478214,572864,Motor Vehicle Theft,0
   KEYWAY                                   BV,28215,1484306,541580,Motor Vehicle Theft,0
   PACES OAKS                               BV,28213,1480881,565599,Motor Vehicle Theft,0
   AMITY POINTE                             RD,28215,1481495,544564,Motor Vehicle Theft,0
E  7TH                                      ST,28202,1452660,541316,Motor Vehicle Theft,0
   ARBOR TRACE                              DR,28273,1409198,499266,Motor Vehicle Theft,0
   MAGNOLIA HILL                            DR,28205,1471089,542685,Motor Vehicle Theft,0
S  CHURCH                                   ST,28202,1448700,542660,Motor Vehicle Theft,0
   ARLINGTON                                AV,28203,1446774,539096,Motor Vehicle Theft,0
   MIDDLE STREAM                            RD,28213,1493940,560876,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1469723,545751,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1470454,543379,Motor Vehicle Theft,0
   FISHER'S POND                            DR,28226,1451686,489299,Motor Vehicle Theft,0
   SPRINGWAY                                DR,28205,1467639,546081,Motor Vehicle Theft,0
   REID MEADOWS                             DR,28208,1428943,549807,Motor Vehicle Theft,0
   FARTHINGTON                              CR,28217,1436821,514087,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1464818,539092,Motor Vehicle Theft,0
   SAN PAOLO                                LN,28277,1444918,479669,Motor Vehicle Theft,0
   SOUTH                                    BV,28278,1439428,499675,Motor Vehicle Theft,0
   PRUITT                                   ST,28208,1433015,543333,Motor Vehicle Theft,0
   TRINITY                                  RD,28216,1445611,579625,Motor Vehicle Theft,0
   HAMORY                                   DR,28215,1478179,539186,Motor Vehicle Theft,0
   TOAL                                     ST,28206,1457603,556695,Motor Vehicle Theft,0
   SCALEYBARK                               RD,28209,1444162,524445,Motor Vehicle Theft,0
   PROVIDENCE                               RD,28211,1462385,516176,Motor Vehicle Theft,0
   HACKBERRY CREEK                          TL,28269,1462002,581657,Motor Vehicle Theft,0
   HERRIN                                   AV,28205,1465066,546714,Motor Vehicle Theft,0
E  W T HARRIS                               BV,28215,1484926,540865,Motor Vehicle Theft,0
   TACOMA                                   ST,28208,1427617,548250,Motor Vehicle Theft,0
   MCDONALD                                 ST,28216,1444472,553748,Motor Vehicle Theft,0
S  TRYON                                    ST,28208,1441113,534099,Motor Vehicle Theft,0
N  TRYON                                    ST,28213,1476336,565972,Motor Vehicle Theft,0
   BROOKWAY                                 DR,28216,1437233,556907,Motor Vehicle Theft,0
   SEAFORTH                                 DR,28205,1473067,542362,Motor Vehicle Theft,0
   BRISTOL                                  DR,28208,1431857,544234,Motor Vehicle Theft,0
   RENTAL CAR                               RD,28208,1418242,543331,Motor Vehicle Theft,0
   PROVIDENCE SQUARE                        DR,28270,1468212,509676,Motor Vehicle Theft,0
   THE PLAZA                                RD,28215,1481921,553640,Motor Vehicle Theft,0
   DOWNFIELD WOOD                           DR,28269,1476297,596684,Motor Vehicle Theft,0
   PARKLAND                                 CR,28227,1485239,534781,Motor Vehicle Theft,0
   MCARTHUR                                 AV,28206,1453775,555014,Motor Vehicle Theft,0
   EUCLID                                   AV,28203,1443565,534236,Motor Vehicle Theft,0
   BEACON RIDGE                             RD,28218,1440109,518037,Motor Vehicle Theft,0
   DOWNFIELD WOOD                           DR,28269,1475624,595193,Motor Vehicle Theft,0
   VENTURA WAY                              DR,28213,1467345,561170,Motor Vehicle Theft,0
   TRACY                                    DR,28209,1436521,533054,Motor Vehicle Theft,0
   BARRINGTON                               DR,28215,1478855,550468,Motor Vehicle Theft,0
   LAKE FOREST                              RD,28212,1485642,534803,Motor Vehicle Theft,0
   WEST                                     AV,28214,1429363,562432,Motor Vehicle Theft,0
   PLEASANT GROVE                           RD,28216,1429009,573210,Motor Vehicle Theft,0
W  TRADE                                    ST,28202,1448543,544137,Motor Vehicle Theft,0
   TYVOLA                                   DR,28210,1440083,518616,Motor Vehicle Theft,0
   ALBEMARLE                                RD,28215,1484267,533206,Motor Vehicle Theft,0
   FOREST OAK                               DR,28209,1443925,524150,Motor Vehicle Theft,0
   KITTANSETT                               DR,28262,1480559,574294,Motor Vehicle Theft,0
N  SHARON AMITY                             RD,28211,1468878,525423,Motor Vehicle Theft,0
   SOUTH                                    BV,28273,1436867,499549,Motor Vehicle Theft,0
   DUNWOODY                                 DR,28215,1476630,545237,Motor Vehicle Theft,0
   ORCHARD TRACE                            LN,28213,1472229,562856,Motor Vehicle Theft,0
   FAIR WIND                                LN,28215,1479719,539250,Motor Vehicle Theft,0
   WATERFORD LAKES                          DR,28210,1439254,505460,Motor Vehicle Theft,0
   WEYLAND                                  AV,28208,1436107,544069,Motor Vehicle Theft,0
   MURDOCK                                  RD,28205,1463840,547111,Motor Vehicle Theft,0
   VILLAGE LAKE                             DR,28212,1478645,518524,Motor Vehicle Theft,0
   CHASEWOOD                                DR,28212,1476869,518823,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1464155,539094,Motor Vehicle Theft,0
   NORTHSTREAM                              DR,28208,1427852,549504,Motor Vehicle Theft,0
   CHARLESTON PLACE                         LN,28212,1478340,515920,Motor Vehicle Theft,0
   KENBROOKE                                DR,28262,1471661,575255,Motor Vehicle Theft,0
   SHARVIEW                                 CR,28217,1432172,519203,Motor Vehicle Theft,0
   ADDISON                                  DR,28211,1464710,524139,Motor Vehicle Theft,0
   GARRETT GRIGG                            RD,28262,1482053,579830,Motor Vehicle Theft,0
N  WENDOVER                                 RD,28211,1464014,529703,Motor Vehicle Theft,0
S  SYCAMORE                                 ST,28202,1446088,545391,Motor Vehicle Theft,0
   MCDONALD                                 AV,28203,1446066,533974,Motor Vehicle Theft,0
   ALANBROOK                                RD,28212,1489009,545687,Motor Vehicle Theft,0
   CLANTON                                  RD,28217,1434687,534380,Motor Vehicle Theft,0
   PERTH                                    CT,28215,1477302,548283,Motor Vehicle Theft,0
   SOUTH                                    BV,28210,1437269,500791,Motor Vehicle Theft,0
   PERTH                                    CT,28215,1477026,548565,Motor Vehicle Theft,0
   KILBORNE                                 DR,28205,1471273,542424,Motor Vehicle Theft,0
   MCCOMBS                                  ST,28208,1432917,537792,Motor Vehicle Theft,0
   EASTBROOK                                RD,28215,1478955,553596,Motor Vehicle Theft,0
   CAUSEWAY                                 DR,28212,1481752,515623,Motor Vehicle Theft,0
   ESTHER                                   LN,28208,1426391,557664,Motor Vehicle Theft,0
   SLOAN                                    DR,28208,1426576,548230,Motor Vehicle Theft,0
S  I-85                                     HY,28208,1438820,555208,Motor Vehicle Theft,0
   VILLAGE LAKE                             DR,28212,1479259,518400,Motor Vehicle Theft,0
   POINT LAKE                               DR,28212,1485872,534171,Motor Vehicle Theft,0
N  TRYON                                    ST,28212,1477482,569507,Motor Vehicle Theft,0
S  SYCAMORE                                 ST,28202,1446088,545391,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1470454,543379,Motor Vehicle Theft,0
   MICHIGAN                                 AV,28215,1470051,546700,Motor Vehicle Theft,0
   AUDREY                                   ST,28215,1469696,547069,Motor Vehicle Theft,0
   BROOMSAGE                                LN,28217,1436563,511212,Motor Vehicle Theft,0
   RENTAL CAR                               RD,28214,1418381,542589,Motor Vehicle Theft,0
   BOW                                      RD,28217,1437274,511135,Motor Vehicle Theft,0
   QUEENS                                   RD,28207,1453973,535342,Motor Vehicle Theft,0
   ROLLINS                                  AV,28205,1466519,535103,Motor Vehicle Theft,0
   FREW                                     RD,28206,1460900,553712,Motor Vehicle Theft,0
   FUGATE                                   AV,28205,1463855,532860,Motor Vehicle Theft,0
   PERIMETER                                PY,28216,1446590,586180,Motor Vehicle Theft,0
   ROCKSHIRE                                DR,28227,1488034,540483,Motor Vehicle Theft,0
   LONG CREEK FAIRWAY                       DR,28216,1446618,584324,Motor Vehicle Theft,0
   NORTHERLY                                RD,28206,1452185,557958,Motor Vehicle Theft,0
   PHILLIPS PLACE                           CT,28211,1454670,512923,Motor Vehicle Theft,0
   SPRINGWAY                                DR,28205,1468129,545930,Motor Vehicle Theft,0
   GARDEN DISTRICT                          DR,28202,1453420,542661,Motor Vehicle Theft,0
   EMERALD COVE                             DR,28262,1478076,575020,Motor Vehicle Theft,0
   LYNHAVEN                                 AV,28205,1461911,544485,Motor Vehicle Theft,0
   SLOAN                                    ST,28208,1440740,529351,Motor Vehicle Theft,0
   CARRINGTON                               CT,28208,1429902,545683,Motor Vehicle Theft,0
   HUNTSMOOR                                DR,27273,1433848,510240,Motor Vehicle Theft,0
   SHARON                                   RD,28207,1453922,526940,Motor Vehicle Theft,0
   COMPATIBLE                               WY,28262,1469574,573629,Motor Vehicle Theft,0
E  7TH                                      ST,28204,1459166,535060,Motor Vehicle Theft,0
   BARRINGTON                               DR,28215,1480020,545114,Motor Vehicle Theft,0
   CROSS ROADS                              PL,28208,1430955,535575,Motor Vehicle Theft,0
   WEYLAND                                  AV,28208,1435987,543196,Motor Vehicle Theft,0
   CEDAR TRAIL                              LN,28210,1445455,493484,Motor Vehicle Theft,0
N  TRYON                                    ST,28215,1471956,556961,Motor Vehicle Theft,0
   FREEDOM                                  DR,28208,1442477,543551,Motor Vehicle Theft,0
   BEACON RIDGE                             RD,28210,1439717,518244,Motor Vehicle Theft,0
   YATESWOOD                                DR,28212,1482414,533062,Motor Vehicle Theft,0
   FORESTBROOK                              DR,28208,1427895,548214,Motor Vehicle Theft,0
   ORR INDUSTRIAL                           CT,28213,1474831,553945,Motor Vehicle Theft,0
   INDEPENDENCE                             BV,28227,1483932,513072,Motor Vehicle Theft,0
   ALBEMARLE                                RD,28205,1475496,533969,Motor Vehicle Theft,0
   SOUTH                                    BV,28273,1436867,499549,Motor Vehicle Theft,0
   HARRILL                                  ST,28205,1457539,544830,Motor Vehicle Theft,0
   LADY LIBERTY                             LN,28217,1431364,514345,Motor Vehicle Theft,0
   HUNTERS CROSSING                         LN,28215,1480805,553867,Motor Vehicle Theft,0
   SHAMROCK                                 DR,28205,1469034,546219,Motor Vehicle Theft,0
   DUPONT                                   DR,28217,1436664,514457,Motor Vehicle Theft,0
   WOODSCAPE                                DR,28212,1477406,518009,Motor Vehicle Theft,0
N  TRYON                                    ST,28202,1454255,547037,Motor Vehicle Theft,0
   SHANNONHOUSE                             DR,28213,1474103,549941,Motor Vehicle Theft,0
E  BLAND                                    ST,28203,1446319,538794,Motor Vehicle Theft,0
   PEGRAM                                   ST,28205,1458424,545375,Motor Vehicle Theft,0
S  TRYON                                    ST,28210,1415694,504140,Motor Vehicle Theft,0
   DUPONT                                   DR,28217,1437152,514414,Motor Vehicle Theft,0
   ENDOLWOOD                                RD,28215,1480836,542555,Motor Vehicle Theft,0
   CAMPUS EDGE                              CR,28262,1485200,572396,Motor Vehicle Theft,0
   TYLER TRAIL                              CT,28262,1476182,571058,Motor Vehicle Theft,0
   QUEEN CITY                               DR,28208,1427068,547782,Motor Vehicle Theft,0
   WEYLAND                                  AV,28208,1435958,542295,Motor Vehicle Theft,0
W  8TH                                      ST,28202,1450230,544694,Motor Vehicle Theft,0
   HEATHERBROOKE                            AV,28213,1470028,560145,Motor Vehicle Theft,0
   FEATHERBROOK                             RD,28262,1487408,581423,Motor Vehicle Theft,0
   KENNON                                   ST,28205,1458170,543738,Motor Vehicle Theft,0
W  5TH                                      ST,28202,1447749,545551,Motor Vehicle Theft,0
   PINESHADOW                               DR,28269,1483047,577844,Motor Vehicle Theft,0
N  TRYON                                    ST,28202,1450120,542961,Motor Vehicle Theft,0
   MOORES CHAPEL                            RD,28214,1406475,557607,Motor Vehicle Theft,0
   CEDAR HILL                               DR,28273,1412737,514236,Motor Vehicle Theft,0
   PALOVERDE                                LN,28227,1487031,541407,Motor Vehicle Theft,0
   POINT SOUTH                              DR,28273,1414136,504221,Motor Vehicle Theft,0
   LIGUSTRUM                                ST,28213,1463873,557555,Motor Vehicle Theft,0
   HAWTHORNE                                LN,28204,1456861,539843,Motor Vehicle Theft,0
   TYLER TRAIL                              CT,28262,1476182,571058,Motor Vehicle Theft,0
   SEPTEMBER                                LN,28208,1441089,550186,Motor Vehicle Theft,0
N  DAVIDSON                                 ST,28206,1454439,543797,Motor Vehicle Theft,0
   VILLAGE LAKE                             DR,28212,1478645,518524,Motor Vehicle Theft,0
   PEBBLESTONE                              DR,28212,1478429,517646,Motor Vehicle Theft,0
N  TRYON                                    ST,28206,1460497,551855,Motor Vehicle Theft,0
S  COLLEGE                                  ST,28203,1446781,539510,Motor Vehicle Theft,0
   LASALLE                                  ST,28216,1449851,555167,Motor Vehicle Theft,0
   ARBORETUM                                DR,28270,1468459,497499,Motor Vehicle Theft,0
   WINERY                                   LN,28227,1486657,532918,Motor Vehicle Theft,0
   PITTS                                    DR,28216,1443584,552680,Motor Vehicle Theft,0
S  COLLEGE                                  ST,28203,1446337,539264,Motor Vehicle Theft,0
   ABERCROMBY                               ST,28213,1495115,571292,Motor Vehicle Theft,0
   OLD MOUNT HOLLY                          RD,28208,1430443,562827,Motor Vehicle Theft,0
   ARBOR TRACE                              DR,28273,1409198,499266,Motor Vehicle Theft,0
   BRADFORD                                 DR,28208,1433798,554060,Motor Vehicle Theft,0
E  W T HARRIS                               BV,28215,1484067,559525,Motor Vehicle Theft,0
   VALLEY RIDGE                             RD,28214,1425406,566607,Motor Vehicle Theft,0
   DUBLIN                                   RD,28208,1435187,544118,Motor Vehicle Theft,0
   WEYLAND                                  AV,28208,1435837,543708,Motor Vehicle Theft,0
   NORCROSS                                 PL,28205,1461339,543925,Motor Vehicle Theft,0
   TRANTERS CREEK                           LN,28273,1407963,500287,Motor Vehicle Theft,0
   ROSEVIEW                                 LN,28205,1468485,541049,Motor Vehicle Theft,0
   WINDHAM                                  PL,28205,1469655,543711,Motor Vehicle Theft,0
   NIJINSKY                                 CT,28216,1431724,584467,Motor Vehicle Theft,0
   TIGER                                    LN,28213,1482803,579958,Motor Vehicle Theft,0
   CALTON                                   LN,28214,1419413,549352,Motor Vehicle Theft,0
   PINEY PATH                               RD,28212,1477796,529388,Motor Vehicle Theft,0
   LITTLE ROCK                              RD,28208,1420619,547819,Motor Vehicle Theft,0
   POND MEADOW                              CT,28213,1468900,562312,Motor Vehicle Theft,0
E  7TH                                      ST,28204-2418  ,1456692,537381,Motor Vehicle Theft,0
   BRANCHVIEW                               DR,28217,1435295,510714,Motor Vehicle Theft,0
   PINECREST                                AV,28205,1464991,535806,Motor Vehicle Theft,0
   COLLEY FORD                              LN,28273,1424099,518512,Motor Vehicle Theft,0
   PARSON                                   ST,28205-2361  ,1459121,545265,Motor Vehicle Theft,0
   DAVID COX                                RD,28269,1459239,583129,Motor Vehicle Theft,0
   PECAN                                    AV,28205,1458692,541000,Motor Vehicle Theft,0
E  INDEPENDENCE                             BV,28212,1474981,526079,Motor Vehicle Theft,0
   DUNBROOK                                 LN,28217,1430225,518347,Motor Vehicle Theft,0
   OVERLOOK                                 TL,28212,1484663,523332,Motor Vehicle Theft,0
   VENTURA WAY                              DR,28213,1467547,561013,Motor Vehicle Theft,0
   YATESWOOD                                DR,28212,1482424,532711,Motor Vehicle Theft,0
   BLYTHE                                   BV,28204,1450664,534250,Motor Vehicle Theft,0
   KARENDALE                                AV,28208,1437984,549903,Motor Vehicle Theft,0
   ATTWOOD                                  CT,28217,1436393,514425,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1469200,541372,Motor Vehicle Theft,0
N  85 IN,28208,1407815,553567,Motor Vehicle Theft,0
E  PARK                                     AV,28203,1446189,537385,Motor Vehicle Theft,0
   PELLA                                    RD,28227,1470270,516280,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1470375,543420,Motor Vehicle Theft,0
   SWEARNGAN                                RD,28269,1438631,565544,Motor Vehicle Theft,0
   HOWIE                                    CR,28213,1467860,551674,Motor Vehicle Theft,0
   REMOUNT                                  RD,28212,1440055,536987,Motor Vehicle Theft,0
   NEWLAND                                  RD,28216,1447281,558078,Motor Vehicle Theft,0
   WEST                                     BV,28208,1437417,538918,Motor Vehicle Theft,0
   RANDALL                                  ST,28205,1461173,540671,Motor Vehicle Theft,0
   JASPAR CREST                             LN,28269,1461088,593221,Motor Vehicle Theft,0
   WILKINSON                                BV,28208,1419249,546397,Motor Vehicle Theft,0
E  7TH                                      ST,28202,1452811,541057,Motor Vehicle Theft,0
   VILLAGE BROOK                            DR,28210,1439301,501953,Motor Vehicle Theft,0
   AVEBURY                                  DR,28213,1484902,564683,Motor Vehicle Theft,0
N  PINE                                     ST,28206,1456924,550835,Motor Vehicle Theft,0
   DALTON                                   AV,28206,1453572,547293,Motor Vehicle Theft,0
W  5TH                                      ST,28202,1447158,545839,Motor Vehicle Theft,0
   MCALWAY                                  RD,28211,1464352,529253,Motor Vehicle Theft,0
N  WENDOVER                                 RD,28205,1462103,528519,Motor Vehicle Theft,0
   BARRINGTON                               DR,28215,1478903,547972,Motor Vehicle Theft,0
   GARRISON                                 RD,28278,1408571,527975,Motor Vehicle Theft,0
   EATONTON                                 ST,28208,1423382,544368,Motor Vehicle Theft,0
W  SHOPTON                                  RD,28273,1400574,502317,Motor Vehicle Theft,0
   IVY MEADOW                               DR,28213,1483376,565633,Motor Vehicle Theft,0
   BRADFORD                                 DR,28208,1433787,555171,Motor Vehicle Theft,0
   WEYLAND                                  AV,28208,1435883,543962,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1475034,537067,Motor Vehicle Theft,0
   STONINGTON                               LN,28227,1486596,532162,Motor Vehicle Theft,0
   ALBEMARLE                                RD,28227,1501058,534874,Motor Vehicle Theft,0
   WILKINSON                                BV,28208,1433589,542573,Motor Vehicle Theft,0
   ASBURY CHAPEL                            RD,28216,1461083,597937,Motor Vehicle Theft,0
   KENNETH                                  LN,28227,1487613,526840,Motor Vehicle Theft,0
N  IRWIN                                    AV,28202,1447400,545984,Motor Vehicle Theft,0
   LONGSPUR                                 DR,28105,1486964,521061,Motor Vehicle Theft,0
   PACES OAKS                               BV,28262,1480737,565180,Motor Vehicle Theft,0
N  GRAHAM                                   ST,28206,1457162,555179,Motor Vehicle Theft,0
W  5TH                                      ST,28202,1448591,544560,Motor Vehicle Theft,0
N  CEDAR                                    ST,28202,1447914,545046,Motor Vehicle Theft,0
N  CEDAR                                    ST,28202,1448194,545738,Motor Vehicle Theft,0
   ROSE RIDGE                               PL,28217,1434030,532085,Motor Vehicle Theft,0
N  TRYON                                    ST,28262,1478681,570990,Motor Vehicle Theft,0
   APPLE GLEN                               LN,28269,1477601,594648,Motor Vehicle Theft,0
   BARRINGER                                DR,28208,1440773,540102,Motor Vehicle Theft,0
   CHARLESTON PLACE                         LN,28212,1477921,515783,Motor Vehicle Theft,0
   AMBERLY                                  LN,28213,1470367,557484,Motor Vehicle Theft,0
   WILDWOOD                                 AV,28208,1434449,556877,Motor Vehicle Theft,0
   LOUISE                                   AV,28205,1455801,540327,Motor Vehicle Theft,0
   GREEN OAKS                               LN,28205,1463454,537099,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1470970,543559,Motor Vehicle Theft,0
   DANIEL                                   ST,28205,1461723,544961,Motor Vehicle Theft,0
   PERTH                                    CT,28215,1477302,548283,Motor Vehicle Theft,0
   HILO                                     DR,28203,1460697,553640,Motor Vehicle Theft,0
   PRESTIGIOUS                              LN,28226,1470157,577929,Motor Vehicle Theft,0
   DULIN CREEK                              BV,28215,1497191,552322,Motor Vehicle Theft,0
   ARNOLD                                   DR,28205,1468079,540735,Motor Vehicle Theft,0
   RISING OAK                               DR,28206,1451271,550316,Motor Vehicle Theft,0
   CLAUDE FREEMAN                           DR,28269,1475624,584313,Motor Vehicle Theft,0
   SOUTH                                    BV,28210,1439633,519035,Motor Vehicle Theft,0
   MIMOSA                                   AV,28205,1460446,543937,Motor Vehicle Theft,0
   CARMEL                                   RD,28226,1448394,492717,Motor Vehicle Theft,0
E  MOREHEAD                                 ST,28205,1447778,539242,Motor Vehicle Theft,0
   ALBEMARLE                                RD,28227,1500500,534858,Motor Vehicle Theft,0
   ALLEN                                    ST,28205,1456620,542700,Motor Vehicle Theft,0
   HICKORY GROVE                            RD,28215,1484716,539866,Motor Vehicle Theft,0
   GLENFIDDICH                              DR,28215,1471568,550519,Motor Vehicle Theft,0
   OLD INTERSTATE                           RD,28213,1460510,559786,Motor Vehicle Theft,0
W  32ND                                     ST,28206,1457710,553361,Motor Vehicle Theft,0
   PEBBLESTONE                              DR,28212,1477941,518729,Motor Vehicle Theft,0
N  DAVIDSON                                 ST,28205,1463753,550852,Motor Vehicle Theft,0
   PEBBLESTONE                              DR,28212,1477941,518729,Motor Vehicle Theft,0
   LABORDE                                  AV,28269,1453178,578290,Motor Vehicle Theft,0
   TEAL POINT                               DR,28205,1474153,535185,Motor Vehicle Theft,0
   GREENWAY VISTA                           LN,28216,1441515,574463,Motor Vehicle Theft,0
   STONEHAVEN                               DR,28215,1472735,545465,Motor Vehicle Theft,0
   WILSON                                   AV,28208,1432854,545170,Motor Vehicle Theft,0
   WATERFORD RIDGE                          DR,28212,1480938,525077,Motor Vehicle Theft,0
