Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   VILLAGE GREEN                            DR,28215,1478831,545647,Motor Vehicle Theft,0
   WINTER HAZEL                             RD,28273,1403387,498324,Motor Vehicle Theft,0
   MCALWAY                                  RD,28211,1464352,529253,Motor Vehicle Theft,0
   CENTRAL                                  AV,28205,1463140,539631,Motor Vehicle Theft,0
   PEBBLESTONE                              DR,28212,1479109,517495,Motor Vehicle Theft,0
   RUSSELL                                  AV,28216,1446527,553514,Motor Vehicle Theft,0
   CANTERWOOD                               DR,28213,1471499,560290,Motor Vehicle Theft,0
N  TRYON                                    ST,28206,1459995,551868,Motor Vehicle Theft,0
N  CEDAR                                    ST,28202,1448227,545712,Motor Vehicle Theft,0
   GREEN TRAIL                              LN,28204,1454820,542139,Motor Vehicle Theft,0
   MICHIGAN                                 AV,28215,1469687,546461,Motor Vehicle Theft,0
   DURHAM                                   LN,28269,1454780,567296,Motor Vehicle Theft,0
   RITTENHOUSE                              CR,28270,1475061,509092,Motor Vehicle Theft,0
   BIG CONE                                 PL,28210,1440010,500369,Motor Vehicle Theft,0
   OLD STATESVILLE                          RD,28269,1455947,582175,Motor Vehicle Theft,0
   CHEVIOT                                  RD,28269,1457574,563911,Motor Vehicle Theft,0
   TWIN LAKES                               PY,28269,1452013,593239,Motor Vehicle Theft,0
E  WESTINGHOUSE                             BV,28273,1429262,500668,Motor Vehicle Theft,0
   MEADOWCLIFF                              DR,28215,1478622,544982,Motor Vehicle Theft,0
N  RAMSEY                                   ST,28208,1437603,557614,Motor Vehicle Theft,0
   UNIVERSITY CITY                          BV,28262,1481341,567276,Motor Vehicle Theft,0
   BONLYN                                   DR,28212,1484742,531695,Motor Vehicle Theft,0
   PORTER                                   ST,28208,1434777,557487,Motor Vehicle Theft,0
   DAVIS                                    AV,28208,1430922,543069,Motor Vehicle Theft,0
   DEERTON                                  DR,28269,1459341,578297,Motor Vehicle Theft,0
S  CALDWELL                                 ST,28203,1447381,538465,Motor Vehicle Theft,0
   MELLWOOD                                 DR,28214,1421598,569373,Motor Vehicle Theft,0
   ATMORE                                   ST,28205,1466159,550269,Motor Vehicle Theft,0
   PAMLICO                                  ST,28205,1457178,541947,Motor Vehicle Theft,0
   LEAFORD                                  CT,28227,1489899,533280,Motor Vehicle Theft,0
   FERNWOOD                                 DR,28212,1475834,515681,Motor Vehicle Theft,0
   EASTWAY                                  DR,28215,1468364,549519,Motor Vehicle Theft,0
   HALTON PARK                              DR,28262,1490797,574327,Motor Vehicle Theft,0
   TILLMAN                                  RD,28208,1435526,554779,Motor Vehicle Theft,0
   RIDGELEY                                 DR,28208,1436812,557345,Motor Vehicle Theft,0
   RIDGELEY                                 DR,28208,1435946,557008,Motor Vehicle Theft,0
   PRESTIGIOUS                              LN,28269,1470513,577566,Motor Vehicle Theft,0
   LODGE SOUTH                              CR,28217,1436263,511287,Motor Vehicle Theft,0
   COMMUNITY                                CR,28215,1469081,549646,Motor Vehicle Theft,0
   KINGS RIDGE                              DR,28217,1437145,510911,Motor Vehicle Theft,0
   PAMLICO                                  ST,28205,1457232,541989,Motor Vehicle Theft,0
N  77 IN,28206,1448955,550204,Motor Vehicle Theft,0
   DEANNA                                   LN,28217,1434385,511387,Motor Vehicle Theft,0
   REAFIELD                                 DR,28226,1453229,490546,Motor Vehicle Theft,0
   OLMSTED PARK                             PL,28203,1444435,534083,Motor Vehicle Theft,0
   WOODFIELD                                DR,28213,1475743,553711,Motor Vehicle Theft,0
S  KINGS                                    DR,28202,1451767,536225,Motor Vehicle Theft,0
   MONROE                                   RD,28211,1465959,530891,Motor Vehicle Theft,0
E  MOREHEAD                                 ST,28202,1447811,539964,Motor Vehicle Theft,0
   AUTUMNWOOD                               LN,28213,1478175,560203,Motor Vehicle Theft,0
W  W T HARRIS                               BV,28269,1460185,580827,Motor Vehicle Theft,0
   BRIDLEWOOD                               LN,28215,1475003,551646,Motor Vehicle Theft,0
   DUNLAVIN                                 WY,28205,1468712,541282,Motor Vehicle Theft,0
   YADKIN                                   AV,28205,1461105,549479,Motor Vehicle Theft,0
   GOFF                                     ST,28208,1437362,555900,Motor Vehicle Theft,0
   ROSECRANE                                DR,28215,1479641,549640,Motor Vehicle Theft,0
N  TRYON                                    ST,28206,1457484,549828,Motor Vehicle Theft,0
   DAHLIA                                   DR,28262,1482032,566188,Motor Vehicle Theft,0
   MCALPINE GLEN                            DR,28227,1490177,529588,Motor Vehicle Theft,0
   PHILLIPS                                 AV,28208,1437964,537495,Motor Vehicle Theft,0
   STATESVILLE                              RD,28216,1452216,559854,Motor Vehicle Theft,0
   COMMUNITY                                CR,28216,1469081,549646,Motor Vehicle Theft,0
   ENOCH                                    DR,28269,1461813,576585,Motor Vehicle Theft,0
   RESEARCH                                 DR,28262,1474559,573941,Motor Vehicle Theft,0
   FLUSHING                                 CT,28215,1470465,548608,Motor Vehicle Theft,0
   SHANNON GREEN                            DR,28262,1484902,567717,Motor Vehicle Theft,0
   HONEYSUCKLE                              LN,28215,1481116,534944,Motor Vehicle Theft,0
E  36TH                                     ST,28205,1461728,549345,Motor Vehicle Theft,0
   WHEELER                                  DR,28211,1472635,521666,Motor Vehicle Theft,0
N  GRAHAM                                   ST,28202,1449799,545207,Motor Vehicle Theft,0
   BROOKSHIRE                               BV,28216,1432847,563355,Motor Vehicle Theft,0
   CEDARWOOD                                LN,28212,1476207,530176,Motor Vehicle Theft,0
   MCBRIDE                                  ST,28215,1478998,550647,Motor Vehicle Theft,0
